t_N1000,I_N1000,t_N2500,I_N2500,t_N5000,I_N5000,t_N7500,I_N7500,t_N10000,I_N10000,t_N12500,I_N12500,t_N15000,I_N15000,t_N20000,I_N20000
1.82,0.0010585075661532696,0.728,0.00036587076567859704,0.364,0.0002567565341412382,0.24266666666666667,0.00022816638138328766,0.182,0.0002150881852790282,0.1456,0.00020760386941431693,0.12133333333333333,0.0002027595639823883,0.091,0.0001968628222520349
1.84,0.001079301388581693,0.736,0.0003687295975518921,0.368,0.0002577577375488859,0.24533333333333332,0.00022875914765983912,0.184,0.00021550714342117127,0.1472,0.00020792731114664215,0.12266666666666666,0.00020302277560198256,0.092,0.0001970544591312299
1.86,0.0011005035463196593,0.744,0.00037161076495553417,0.372,0.00025876284474300244,0.248,0.0002293534538007132,0.186,0.0002159269175701072,0.14880000000000002,0.00020825125675862368,0.124,0.0002032863288859044,0.093,0.00019724628254794976
1.8800000000000001,0.001122122052099548,0.752,0.0003745144423499648,0.376,0.0002597718709422127,0.25066666666666665,0.00022994930380549933,0.188,0.00021634750931495038,0.1504,0.0002085757070351318,0.12533333333333332,0.0002035502242775948,0.094,0.0001974382926837441
1.9000000000000001,0.0011441650756534541,0.76,0.00037744080555764337,0.38,0.000260784831424454,0.2533333333333333,0.00023054670168417527,0.19,0.00021676892024790755,0.152,0.00020890066276225887,0.12666666666666665,0.00020381446222107028,0.095,0.00019763048972034082
1.92,0.00116664094678014,0.768,0.00038039003177367064,0.384,0.00026180174152719857,0.256,0.00023114565145712865,0.192,0.0002171911519642863,0.15360000000000001,0.00020922612472732153,0.128,0.00020407904316092343,0.096,0.00019782287383964214
1.94,0.0011895581584715352,0.776,0.00038336229957649376,0.388,0.00026282261664769445,0.25866666666666666,0.00023174615715518856,0.194,0.00021761420606250021,0.1552,0.00020955209371886234,0.12933333333333333,0.00020434396754232358,0.097,0.00019801544522372988
1.96,0.0012129253700999133,0.784,0.0003863577889386924,0.392,0.0002638474722431905,0.2613333333333333,0.00023234822281964748,0.196,0.00021803808414407348,0.1568,0.00020987857052665225,0.13066666666666665,0.00020460923581101792,0.098,0.00019820820405486148
1.98,0.001236751410666923,0.792,0.00038937668123785615,0.396,0.0002648763238311742,0.264,0.00023295185250229428,0.198,0.0002184627878136495,0.1584,0.00021020555594169048,0.132,0.0002048748484133315,0.099,0.00019840115051547174
2.0,0.0012610452821156515,0.8,0.00039241915926753663,0.4,0.0002659091869896052,0.26666666666666666,0.0002335570502654367,0.2,0.0002188883186789956,0.16,0.00021053305075621073,0.13333333333333333,0.00020514080579616962,0.1,0.0001985942847881738
2.02,0.0012858161627069327,0.808,0.00039548540724829493,0.404,0.00026694607735715085,0.2693333333333333,0.00023416382018193112,0.202,0.00021931467835100815,0.16160000000000002,0.00021086105576367724,0.13466666666666666,0.00020540710840701634,0.101,0.0001987876070557586
2.04,0.001311073410461109,0.8160000000000001,0.0003985756108388279,0.40800000000000003,0.00026798701063342206,0.27199999999999996,0.00023477216633520912,0.20400000000000001,0.00021974186844372117,0.1632,0.00021118957175879295,0.13599999999999998,0.00020567375669393672,0.10200000000000001,0.0001989811175011931
2.06,0.0013368265666665255,0.8240000000000001,0.00040168995714718133,0.41200000000000003,0.00026903200257921293,0.27466666666666667,0.0002353820928193048,0.20600000000000002,0.000220169890574309,0.1648,0.00021151859953749572,0.13733333333333334,0.0002059407511055772,0.10300000000000001,0.00019917481630762462
2.08,0.0013630853594560153,0.8320000000000001,0.00040482863474205724,0.41600000000000004,0.00027008106901673507,0.2773333333333333,0.00023599360373888412,0.20800000000000002,0.00022059874636309716,0.16640000000000002,0.00021184813989696423,0.13866666666666666,0.00020620809209116636,0.10400000000000001,0.00019936870365837685
2.1,0.0013898597074526752,0.84,0.0004079918336641987,0.42,0.0002711342258298616,0.27999999999999997,0.00023660670320926815,0.21,0.0002210284374335634,0.168,0.00021217819363561832,0.13999999999999999,0.00020647578010051567,0.105,0.00019956277973695336
2.12,0.0014171597234862595,0.848,0.0004111797454378737,0.424,0.00027219148896436116,0.2826666666666667,0.0002372213953564664,0.212,0.00022145896541234645,0.1696,0.00021250876155312097,0.14133333333333334,0.00020674381558402017,0.106,0.00019975704472703556
